file_id,record_id
0,5
0,9
0,10
0,21
0,22
0,28
0,30
1,1
1,3
1,21
1,27
2,16
2,26
2,28
2,33
2,34
3,2
3,15
3,19
3,22
3,31
4,2
4,6
4,8
4,14
4,16
4,17
4,21
4,30
5,0
5,9
5,13
5,14
5,15
5,25
5,27
6,4
6,13
6,18
6,27
6,35
7,1
7,5
7,7
7,16
7,19
7,27
7,36
8,1
8,4
8,19
8,39
9,0
9,7
9,14
9,22
9,23
9,24
9,25
9,32
11,8
11,32
11,38
11,55
12,1
12,8
12,9
12,17
12,19
12,33
13,0
13,1
13,2
13,5
13,8
13,9
13,11
13,18
13,21
13,25
14,3
14,18
14,20
14,26
14,28
14,31
15,1
15,9
15,11
15,13
15,15
15,19
15,23
15,29
16,7
16,9
16,14
16,15
16,17
16,25
16,27
16,28
17,13
17,20
17,21
17,25
17,27
17,34
18,4
18,12
18,14
18,30
18,40
18,45
19,1
19,9
19,10
19,24
19,31
19,36
20,7
20,16
20,40
20,47
21,5
21,8
21,12
21,14
21,18
22,5
22,6
22,7
22,19
22,34
23,5
23,23
23,24
23,26
25,6
25,11
26,12
26,19
26,21
26,24
26,30
27,4
27,9
27,12
27,26
27,27
27,30
27,31
28,0
28,1
28,6
28,7
28,11
28,14
28,28
28,29
28,30
28,31
28,36
30,12
30,19
30,23
30,26
30,39
30,40
30,45
31,0
31,8
31,11
31,19
31,25
31,28
33,2
33,16
33,20
33,22
33,28
33,29
33,35
34,1
34,7
34,9
34,10
34,15
34,16
34,19
34,27
34,34
35,2
35,3
35,7
35,9
35,12
35,26
35,35
36,2
36,7
36,13
36,14
36,21
36,22
36,30
36,38
36,47
37,6
37,27
37,39
38,4
38,5
38,19
38,29
38,32
38,33
38,35
39,8
39,17
39,18
39,23
39,34
39,38
39,41
41,0
41,3
41,4
41,15
41,16
41,24
41,27
41,33
42,2
42,5
42,11
42,13
42,18
42,19
42,27
42,33
42,35
43,3
43,10
43,17
43,18
43,20
43,22
43,23
43,32
45,14
45,16
45,31
45,36
45,39
46,0
46,4
46,21
